iter	Passed	Remaining
845	33507	6099
846	33546	6059
847	33585	6020
848	33624	5980
849	33663	5940
850	33701	5900
851	33741	5861
852	33780	5821
853	33819	5781
854	33858	5742
855	33896	5702
856	33934	5662
857	33973	5622
858	34011	5582
859	34050	5543
860	34088	5503
861	34126	5463
862	34166	5423
863	34204	5384
864	34244	5344
865	34282	5304
866	34324	5265
867	34363	5225
868	34402	5186
869	34440	5146
870	34479	5106
871	34520	5067
872	34560	5027
873	34597	4987
874	34635	4947
875	34675	4908
876	34715	4868
877	34754	4829
878	34795	4789
879	34834	4750
880	34872	4710
881	34909	4670
882	34949	4630
883	34988	4591
884	35027	4551
885	35067	4512
886	35104	4472
887	35145	4432
888	35188	4393
889	35227	4353
890	35266	4314
891	35306	4274
892	35349	4235
893	35388	4195
894	35429	4156
895	35467	4116
896	35507	4077
897	35545	4037
898	35585	3997
899	35621	3957
900	35661	3918
901	35699	3878
902	35739	3839
903	35777	3799
904	35816	3759
905	35857	3720
906	35898	3680
907	35938	3641
908	35979	3601
909	36019	3562
910	36059	3522
911	36101	3483
912	36143	3444
913	36182	3404
914	36222	3364
915	36262	3325
916	36303	3285
917	36347	3246
918	36392	3207
919	36436	3168
920	36476	3128
921	36513	3089
922	36553	3049
923	36591	3009
924	36630	2970
925	36668	2930
926	36706	2890
927	36745	2850
928	36785	2811
929	36828	2772
930	36868	2732
931	36925	2694
932	36966	2654
933	37005	2614
934	37043	2575
935	37083	2535
936	37126	2496
937	37169	2456
938	37211	2417
939	37252	2377
940	37296	2338
941	37340	2299
942	37383	2259
943	37423	2220
944	37463	2180
945	37503	2140
946	37546	2101
947	37589	2061
948	37632	2022
949	37677	1983
950	37719	1943
951	37762	1903
952	37804	1864
953	37848	1824
954	37888	1785
955	37930	1745
956	37970	1706
957	38008	1666
958	38047	1626
959	38089	1587
960	38131	1547
961	38172	1507
962	38211	1468
963	38249	1428
964	38288	1388
965	38329	1349
966	38375	1309
967	38422	1270
968	38498	1231
969	38567	1192
970	38634	1153
971	38686	1114
972	38732	1074
973	38776	1035
974	38821	995
975	38866	955
976	38916	916
977	38959	876
978	39004	836
979	39047	796
980	39090	757
981	39134	717
982	39180	677
983	39226	637
984	39270	598
985	39315	558
986	39357	518
987	39398	478
988	39440	438
989	39483	398
990	39526	358
991	39571	319
992	39612	279
993	39656	239
994	39699	199
995	39745	159
996	39789	119
997	39833	79
998	39877	39
999	39925	0
